, elasticity ,inertia,length ,load_P,V_dis,cubed_L,inv_E,inv_I
5658,203,13500000,9,20,266.0098522,729,0.004926108374,0.00000007407407407
5659,205,7120000,13,20,1505.206906,2197,0.00487804878,0.0000001404494382
5660,200,985000,7,6,522.3350254,343,0.005,0.000001015228426
5661,190,458000,20,1,4596.64445,8000,0.005263157895,0.000002183406114
5662,190,32200,9,25,148945.7339,729,0.005263157895,0.00003105590062
5663,210,7120000,17,6,985.7544141,4913,0.004761904762,0.0000001404494382
5664,200,1830000,15,11,5071.721311,3375,0.005,0.0000005464480874
5665,205,13500000,3,20,9.756097561,27,0.00487804878,0.00000007407407407
5666,203,41500000,1,2,0.01187014066,1,0.004926108374,0.00000002409638554
5667,190,32200,7,4,11212.81465,343,0.005263157895,0.00003105590062
5668,198,8650,20,30,7006480.995,8000,0.005050505051,0.0001156069364
5669,210,8650,15,15,1393476.466,3375,0.004761904762,0.0001156069364
5670,195,1830000,15,25,11822.1942,3375,0.005128205128,0.0000005464480874
5671,212,985000,13,2,1052.102289,2197,0.004716981132,0.000001015228426
5672,195,13500000,9,15,207.6923077,729,0.005128205128,0.00000007407407407
5673,208,13500000,5,4,8.903133903,125,0.004807692308,0.00000007407407407
5674,212,32200,3,1,197.7616313,27,0.004716981132,0.00003105590062
5675,198,8650,11,6,233140.6551,1331,0.005050505051,0.0001156069364
5676,198,13500000,20,16,2394.313505,8000,0.005050505051,0.00000007407407407
5677,212,8650,5,30,102246.7008,125,0.004716981132,0.0001156069364
5678,203,152000,11,6,12940.75707,1331,0.004926108374,0.000006578947368
5679,190,32200,13,11,197507.3553,2197,0.005263157895,0.00003105590062
5680,212,13500000,5,30,65.51362683,125,0.004716981132,0.00000007407407407
5681,212,1830000,17,1,633.1838334,4913,0.004716981132,0.0000005464480874
5682,203,458000,1,11,5.915632327,1,0.004926108374,0.000002183406114
5683,208,1830000,9,25,2393.994325,729,0.004807692308,0.0000005464480874
5684,210,41500000,13,15,189.070568,2197,0.004761904762,0.00000002409638554
5685,190,3010000,5,15,163.92726,125,0.005263157895,0.0000003322259136
5686,193,13500000,7,25,164.5557475,343,0.00518134715,0.00000007407407407
5687,210,985000,9,20,3524.292966,729,0.004761904762,0.000001015228426
5688,203,3010000,5,6,61.37178207,125,0.004926108374,0.0000003322259136
5689,198,458000,20,16,70574.74306,8000,0.005050505051,0.000002183406114
5690,208,458000,3,16,226.7383272,27,0.004807692308,0.000002183406114
5691,210,8650,20,11,2422240.573,8000,0.004761904762,0.0001156069364
5692,205,152000,7,1,550.3851091,343,0.00487804878,0.000006578947368
5693,190,458000,7,11,2167.892439,343,0.005263157895,0.000002183406114
5694,198,32200,7,4,10759.77163,343,0.005050505051,0.00003105590062
5695,198,8650,1,16,467.098733,1,0.005050505051,0.0001156069364
5696,208,1830000,5,15,246.2957125,125,0.004807692308,0.0000005464480874
5697,205,41500000,3,15,2.380252718,27,0.00487804878,0.00000002409638554
5698,210,13500000,20,15,2116.402116,8000,0.004761904762,0.00000007407407407
5699,195,1830000,1,30,4.203446826,1,0.005128205128,0.0000005464480874
5700,195,13500000,15,16,1025.641026,3375,0.005128205128,0.00000007407407407
5701,193,13500000,5,2,4.797543658,125,0.00518134715,0.00000007407407407
